;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
eth_nation_modifier;Ethiopia Tradition;;;;;;;;;;;;;
per_nation_modifier;Persia Tradition;;;;;;;;;;;;;
col_nation_modifier;Colombia Tradition;;;;;;;;;;;;;
sia_nation_modifier;Indochina Tradition;;;;;;;;;;;;;
por_nation_modifier;Portugal Tradition;;;;;;;;;;;;;
uk_nation_modifier_desc; ;;;;;;;;;;;;;
fra_nation_modifier_desc; ;;;;;;;;;;;;;
pru_nation_modifier_desc; ;;;;;;;;;;;;;
aus_nation_modifier_desc; ;;;;;;;;;;;;;
sar_nation_modifier_desc; ;;;;;;;;;;;;;
tur_nation_modifier_desc; ;;;;;;;;;;;;;
rus_nation_modifier_desc; ;;;;;;;;;;;;;
usa_nation_modifier_desc; ;;;;;;;;;;;;;
csa_nation_modifier_desc; ;;;;;;;;;;;;;
jap_nation_modifier_desc; ;;;;;;;;;;;;;
spa_nation_modifier_desc; ;;;;;;;;;;;;;
ksn_nation_modifier_desc; ;;;;;;;;;;;;;
net_nation_modifier_desc; ;;;;;;;;;;;;;
brz_nation_modifier_desc; ;;;;;;;;;;;;;
com_nation_modifier_desc; ;;;;;;;;;;;;;
chi_nation_modifier_desc; ;;;;;;;;;;;;;
mex_nation_modifier_desc; ;;;;;;;;;;;;;
arc_nation_modifier_desc; ;;;;;;;;;;;;;
eth_nation_modifier_desc; ;;;;;;;;;;;;;
per_nation_modifier_desc; ;;;;;;;;;;;;;
col_nation_modifier_desc; ;;;;;;;;;;;;;
sia_nation_modifier_desc; ;;;;;;;;;;;;;
por_nation_modifier_desc; ;;;;;;;;;;;;;
naval_nation_modifier;Navy Tradition Modifier;;;;;;;;;;;;;
army_nation_modifier;Army Tradition Modifier;;;;;;;;;;;;;
disabled_nation_traditions;Disable Nation Traditions;;;;;;;;;;;;;
early_classical_theory_and_critique;Unlock Province Selector;;;;;;;;;;;;;
farmland_unlocked;Farmland Unlock;;;;;;;;;;;;;
farmland_unlocked_unciv;Farmland Unlock (Unciv);;;;;;;;;;;;;
neoliberal_theory;Neoliberal Theory;;;;;;;;;;;;;;
keynesianism;Keynesianism;;;;;;;;;;;;;;
modern_business_management;Modern Business Management;;;;;;;;;;;;;;
modernism;Modernism;;;;;;;;;;;;;;
quantum_mechanics;Quantum Mechanics;;;;;;;;;;;;;;
critical_theory;Critical Theory;;;;;;;;;;;;;;
modern_sociology;Modern Sociology;;;;;;;;;;;;;;
monetarism;Monetarism;;;;;;;;;;;;;;
national_idea1;§GNational Idea;;;;;;;;;;;;;;
national_idea1_desc;This invention unlocks another national idea.;;;;;;;;;;;;;;
national_idea1_invented;1 National Idea;;;;;;;;;;;;;;
national_idea2;§GNational Idea;;;;;;;;;;;;;;
national_idea2_desc;This invention unlocks another national idea.;;;;;;;;;;;;;;
national_idea2_invented;2 National Ideas;;;;;;;;;;;;;;
national_idea3;§GNational Idea;;;;;;;;;;;;;;
national_idea3_desc;This invention unlocks another national idea.;;;;;;;;;;;;;;
national_idea3_invented;3 National Ideas;;;;;;;;;;;;;;
national_idea4;§GNational Idea;;;;;;;;;;;;;;
national_idea4_desc;This invention unlocks another national idea.;;;;;;;;;;;;;;
national_idea4_invented;4 National Ideas;;;;;;;;;;;;;;
national_idea5;§GNational Idea;;;;;;;;;;;;;;
national_idea5_desc;This invention unlocks another national idea.;;;;;;;;;;;;;;
national_idea5_invented;5 National Ideas;;;;;;;;;;;;;;
national_idea6;§GNational Idea;;;;;;;;;;;;;;
national_idea6_desc;This invention unlocks another national idea.;;;;;;;;;;;;;;
national_idea6_invented;6 National Ideas;;;;;;;;;;;;;;
army_morale_idea;Army Morale National Idea;;;;;;;;;;;;;;
army_morale_idea_desc;This effect is additive, e.g. if your army morale is 200%, this will raise it to 250%.;;;;;;;;;;;;;;
army_organisation_idea;Army Organisation National Idea;;;;;;;;;;;;;;
army_organisation_idea_desc;This effect is multiplicative. The max organization of a land unit is (base organization of unit + army organization from techs) * (1 + land organization). An infantry brigade has a base organization of 30, so without any techs researched the max org it will have with this modifier is (30 + 0) * (1 + 0.2) = 36.;;;;;;;;;;;;;;
military_supplies;Military Supplies National Idea\n§WSupply Consumption §G-10%;;;;;;;;;;;;;;
military_supplies_desc;This reduces supply consumption for all units by 10%.;;;;;;;;;;;;;;
military_supplies_idea;Military Supplies National Idea;;;;;;;;;;;;;;
military_supplies_idea_desc;This gives -15% Supply Consumption Bonus. For example, if the base supply consumption of your armies is increased to 200% from techs, this will lower it to 170%.;;;;;;;;;;;;;;
military_hospitals_idea;Military Hospital Idea\n§WMilitary Hospitals: §G+10%;;;;;;;;;;;;;;
military_hospitals_idea_desc;This bonus reduces POP deaths from combat casualties to a rate of 1 to 0.208, down from a base rate of 1 to 0.25. POP deaths from combat casualties is calculated as SOLDIER_TO_POP_DAMAGE/(1 + military_hospital modifier). The base SOLDIER_TO_POP_DAMAGE in this mod is 0.25, so a military hospital modifier of 20% or 0.2, reduces POP deaths to 0.25/(1 + 0.2) = 0.208.;;;;;;;;;;;;;;
military_hospitals_idea_invention;Military Hospitals National Idea;;;;;;;;;;;;;;
military_hospitals_idea_invention_desc;This bonus reduces POP deaths from combat casualties to a rate of 1 to 0.208, down from a base rate of 1 to 0.25. POP deaths from combat casualties is calculated as SOLDIER_TO_POP_DAMAGE/(1 + military_hospital modifier). The base SOLDIER_TO_POP_DAMAGE in this mod is 0.25, so a military hospital modifier of 20% (0.2), reduces POP deaths to 0.25/(1 + 0.2) = 0.208.;;;;;;;;;;;;;;
army_experience_idea;Army Experience National Idea;;;;;;;;;;;;;;
army_experience_idea_desc;Each point of experience lowers the damage taken during combat at the same rate as one point of military tactics.;;;;;;;;;;;;;;
reinforce_rate_idea;Reinforce Rate Idea\n§WReinforcement: §G+10%;;;;;;;;;;;;;;
reinforce_rate_idea_desc;This bonus increases reinforce rate by +10%. No matter the reinforce rate however, your units' reinforce rate is multiplied by the amount of supplies they are getting, so if your armies aren't getting any supplies they won't reinforce even with a large reinforce rate bonus.;;;;;;;;;;;;;;
reinforce_rate_idea_invention;Reinforce Rate Idea;;;;;;;;;;;;;;
reinforce_rate_idea_invention_desc;Your units' reinforce rate is multiplied by the amount of supplies they are getting, so if your armies aren't getting any supplies they won't reinforce even with a large reinforce rate bonus.;;;;;;;;;;;;;;
leadership_idea;Leadership National Idea;;;;;;;;;;;;;;
leadership_idea_desc;Increased Monthly Base Leadership.;;;;;;;;;;;;;;
prestige_idea;Prestige National Idea;;;;;;;;;;;;;;
prestige_idea_desc;Increased Monthly Base Prestige.;;;;;;;;;;;;;;
navy_build_speed_idea;Navy Build Speed National Idea\n§WNavies: Build Time §G-30%\n§WLocal Ship Repair Speed: §G+50%;;;;;;;;;;;;;;
navy_build_speed_idea_desc;Base build time of ships is reduced by 30% and repair is 50% faster. The base build time reduction stacks with base build time reductions from port levels and other techs.;;;;;;;;;;;;;;
navy_build_speed_idea_modifier;Naval Build Speed National Idea;;;;;;;;;;;;;;
navy_organisation_idea;Navy Organisation National Idea;;;;;;;;;;;;;;
navy_organisation_idea_desc;This effect is multiplicative. The max organization of a naval unit is (base organization of unit + navy organization from techs) * (1 + navy organization). For example, a frigate has a base org of 30, and if it has +18 org from techs, the max org it will have with this modifier is (30 + 18) * (1 + 0.15) = 55.2.;;;;;;;;;;;;;;
expansion_idea;Expansion National Idea;;;;;;;;;;;;;;
expansion_idea_desc;Increased Monthly Infamy Decay.;;;;;;;;;;;;;;
assimilation_idea;Assimilation National Idea;;;;;;;;;;;;;;
assimilation_idea_desc;Assimilation rate is multiplied by the assimilation chance to determine the amount of assimilation in a POP. If either assimilation rate or chance is 0, or there is no assimilation target, then no assimilation will take place. POPs will never assimilate in a province they have a core in, so e.g. Romanian POPs in Romanian cored land won't assimilate but Romanian POPs in non Romanian land will assimilate.;;;;;;;;;;;;;;
farming_idea;Farming National Idea;;;;;;;;;;;;;;
farming_idea_desc;+Increased Farming Efficiency.;;;;;;;;;;;;;;
mining_idea;Mining National Idea;;;;;;;;;;;;;;
mining_idea_desc;Increased Mining Efficiency.;;;;;;;;;;;;;;
consumer_goods_idea;Consumer Goods National Idea;;;;;;;;;;;;;;
consumer_goods_idea_desc;Provides an output bonus to various factory produced consumer goods.;;;;;;;;;;;;;;
industrial_goods_idea;Industrial Goods National Idea;;;;;;;;;;;;;;
industrial_goods_idea_desc;Provides an output bonus to various factory produced industrial goods.;;;;;;;;;;;;;;
domestic_idea;Unlock Migration Attraction National Idea;;;;;;;;;;;;;;
domestic_idea_desc;Unlocks Migration Attraction decision, which redirects incoming immigrants and internal migrants to the targetted province. This does NOT increase the amount of outside POPs that immigrate to your country.;;;;;;;;;;;;;;
education_idea;Education National Idea;;;;;;;;;;;;;;
education_idea_desc;Increased Education Efficiency.;;;;;;;;;;;;;;
EVTNAME91601;New National Idea Researched;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC91601;You may pick from one of the following national idea groups.;;;;;;;;;;;;;;;;;;;;;;;x
research_and_development;Research & Development;;;;;;;;;;;;;;
no_rnd;No R&D;;;;;;;;;;;;;;
no_rnd_desc;The state does not fund any R&D;;;;;;;;;;;;;;
rudimentary_rnd;Rudimentary R&D;;;;;;;;;;;;;;
rudimentary_rnd_desc;§YThis level of reform requires at least 10% average literacy.§W\nThis gives §R+0.003§W Infamy Increase;;;;;;;;;;;;;;
very_low_rnd;Very Low R&D;;;;;;;;;;;;;;
very_low_rnd_desc;§YThis level of reform requires at least 20% average literacy.§W;;;;;;;;;;;;;;
low_rnd;Low R&D;;;;;;;;;;;;;;
low_rnd_desc;§YThis level of reform requires at least 30% average literacy.§W;;;;;;;;;;;;;;
basic_rnd;Basic R&D;;;;;;;;;;;;;;
basic_rnd_desc;§YThis level of reform requires at least 40% average literacy.§W;;;;;;;;;;;;;;
moderate_rnd;Moderate R&D;;;;;;;;;;;;;;
moderate_rnd_desc;§YThis level of reform requires at least 50% average literacy.§W;;;;;;;;;;;;;;
acceptable_rnd;Acceptable R&D;;;;;;;;;;;;;;
acceptable_rnd_desc;§YThis level of reform requires at least 60% average literacy.§W;;;;;;;;;;;;;;
good_rnd;Good R&D;;;;;;;;;;;;;;
good_rnd_desc;§YThis level of reform requires at least 70% average literacy.§W;;;;;;;;;;;;;;
very_good_rnd;Very Good R&D;;;;;;;;;;;;;;
very_good_rnd_desc;§YThis level of reform requires at least 80% average literacy.§W;;;;;;;;;;;;;;
advanced_rnd;Advanced R&D;;;;;;;;;;;;;;
advanced_rnd_desc;§YThis level of reform requires at least 90% average literacy.§W;;;;;;;;;;;;;;
futuristic_rnd;Futuristic R&D;;;;;;;;;;;;;;
futuristic_rnd_desc;§YThis level of reform requires at least 99% average literacy.§W;;;;;;;;;;;;;;
military_industry;Military Industry;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
military_industry_l;Military Industry;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
military_industry_desc; ;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
movement_military_industry;Movement for Military Industry Implementation;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
military_logistics;Military Logistics;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
military_logistics_l;Military Logistics;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
military_logistics_desc; ;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
movement_military_logistics;Movement for Military Logistics Implementation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
no_focus;No Focus;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_focus_l;No Focus;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_focus_desc; ;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
movement_no_focus;Movement for No Focus Implementation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
economic_logistics;Economic Logistics;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
economic_logistics_l;Economic Logistics;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
economic_logistics_desc; ;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
movement_economic_logistics;Movement for Economic Logistics Implementation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
economic_industry;Economic Industry;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
economic_industry_l;Economic Industry;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
economic_industry_desc; ;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
movement_economic_industry;Movement for Economic Industry Implementation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
universal_health_care;Universal Healthcare;;;;;;;;;;;;;x;;;;;;;;;;;;;;
universal_health_care_desc;Universal healthcare is a health care system in which all residents of a particular country or region are assured access to health care. It is generally organized around providing either all residents or only those who cannot afford on their own with either health services or the means to acquire them, with the end goal of improving health outcomes.;;;;;;;;;;;;;x;;;;;;;;;;;;;;
movement_universal_health_care;Universal Health Care Movement;;;;;;;;;;;;;x
compulsory_schools;Compulsory School System;;;;;;;;;;;;;;;;;;;;;;;x
compulsory_schools_l;Compulsory School System;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
compulsory_schools_desc;Free public education is available to all and attendance is mandatory. Teachers are certified to a standardized curricula by either the government or a teachers' organisation. Higher education institutions are excellent and poor students are given subsidies by the government in order to attend.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
illuminati;Bankers;;;;;;;;;;;;;;;;;;;;;;;x
zbankers;Bankers;;;;;;;;;;;;;;
JAN_3246;World Bank;;;;;;;;;;;;;x
warning_will_remove_other_depot;\n§RWARNING§W Will remove previous depot modifier;;;;;;;;;;;;;;
cost_500k;\n§GCost to Build: 500k§W;;;;;;;;;;;;;;
broke_500k;\n§RYou Don't have enough Funds: 500K§W;;;;;;;;;;;;;;
tiny_lit_campaign;Gain §R1§W infamy;;;;;;;;;;;;;;
small_lit_campaign;Gain §R2§W infamy;;;;;;;;;;;;;;
medium_lit_campaign;Gain §R3§W infamy;;;;;;;;;;;;;;
large_lit_campaign;Gain §R4§W infamy;;;;;;;;;;;;;;
huge_lit_campaign;Gain §R5§W infamy;;;;;;;;;;;;;;
tiny_lit_campaign_broke;§YNot Enough Infamy §W(§RClose to Sanctions§W);;;;;;;;;;;;;;
small_lit_campaign_broke;§YNot Enough Infamy §W(§RClose to Sanctions§W);;;;;;;;;;;;;;
medium_lit_campaign_broke;§YNot Enough Infamy §W(§RClose to Sanctions§W);;;;;;;;;;;;;;
large_lit_campaign_broke;§YNot Enough Infamy §W(§RClose to Sanctions§W);;;;;;;;;;;;;;
huge_lit_campaign_broke;§YNot Enough Infamy §W(§RClose to Sanctions§W);;;;;;;;;;;;;;
already_has_modifier;Modifier already exists;;;;;;;;;;;;;;
0K_pop_agri_rgo;§GCost for RGO change: 100K§W;;;;;;;;;;;;;;
50K_pop_agri_rgo;§GCost for RGO change: 200K§W;;;;;;;;;;;;;;
100K_pop_agri_rgo;§GCost for RGO change: 400K§W;;;;;;;;;;;;;;
200K_pop_agri_rgo;§GCost for RGO change: 600K§W;;;;;;;;;;;;;;
300K_pop_agri_rgo;§GCost for RGO change: 800K§W;;;;;;;;;;;;;;
400K_pop_agri_rgo;§GCost for RGO change: 1M§W;;;;;;;;;;;;;;
500K_pop_agri_rgo;§GCost for RGO change: 1.2M§W;;;;;;;;;;;;;;
600K_pop_agri_rgo;§GCost for RGO change: 1.4M§W;;;;;;;;;;;;;;
700K_pop_agri_rgo;§GCost for RGO change: 1.6M§W;;;;;;;;;;;;;;
800K_pop_agri_rgo;§GCost for RGO change: 1.8M§W;;;;;;;;;;;;;;
900K_pop_agri_rgo;§GCost for RGO change: 2M§W;;;;;;;;;;;;;;
1M_pop_agri_rgo;§GCost for RGO change: 2.4M§W;;;;;;;;;;;;;;
1_2M_pop_agri_rgo;§GCost for RGO change: 2.8M§W;;;;;;;;;;;;;;
1_4M_pop_agri_rgo;§GCost for RGO change: 3.2M§W;;;;;;;;;;;;;;
1_6M_pop_agri_rgo;§GCost for RGO change: 3.6M§W;;;;;;;;;;;;;;
1_8M_pop_agri_rgo;§GCost for RGO change: 4M§W;;;;;;;;;;;;;;
0K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 100K§W;;;;;;;;;;;;;;
50K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 200K§W;;;;;;;;;;;;;;
100K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 400K§W;;;;;;;;;;;;;;
200K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 600K§W;;;;;;;;;;;;;;
300K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 800K§W;;;;;;;;;;;;;;
400K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 1M§W;;;;;;;;;;;;;;
500K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 1.2M§W;;;;;;;;;;;;;;
600K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 1.4M§W;;;;;;;;;;;;;;
700K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 1.6M§W;;;;;;;;;;;;;;
800K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 1.8M§W;;;;;;;;;;;;;;
900K_pop_agri_rgo_broke;§RNot enough funds for RGO change: 2M§W;;;;;;;;;;;;;;
1M_pop_agri_rgo_broke;§RNot enough funds for RGO change: 2.4M§W;;;;;;;;;;;;;;
1_2M_pop_agri_rgo_broke;§RNot enough funds for RGO change: 2.8M§W;;;;;;;;;;;;;;
1_4M_pop_agri_rgo_broke;§RNot enough funds for RGO change: 3.2M§W;;;;;;;;;;;;;;
1_6M_pop_agri_rgo_broke;§RNot enough funds for RGO change: 3.6M§W;;;;;;;;;;;;;;
1_8M_pop_agri_rgo_broke;§RNot enough funds for RGO change: 4M§W;;;;;;;;;;;;;;
0K_pop_baby_boom;§G3000 Day Baby Boom§W;;;;;;;;;;;;;;
100K_pop_baby_boom;§G2700 Day Baby Boom§W;;;;;;;;;;;;;;
200K_pop_baby_boom;§G2400 Day Baby Boom§W;;;;;;;;;;;;;;
300K_pop_baby_boom;§G2100 Day Baby Boom§W;;;;;;;;;;;;;;
400K_pop_baby_boom;§G1800 Day Baby Boom§W;;;;;;;;;;;;;;
500K_pop_baby_boom;§G1500 Day Baby Boom§W;;;;;;;;;;;;;;
600K_pop_baby_boom;§G1200 Day Baby Boom§W;;;;;;;;;;;;;;
700K_pop_baby_boom;§G900 Day Baby Boom§W;;;;;;;;;;;;;;
800K_pop_baby_boom;§G600 Day Baby Boom§W;;;;;;;;;;;;;;
900K_pop_baby_boom;§G300 Day Baby Boom§W;;;;;;;;;;;;;;
above_baby_boom_limit;§RState above 1 million Population§W;;;;;;;;;;;;;;
baby_boom_on_cooldown;§RBaby Boom on Cooldown§W;;;;;;;;;;;;;;
not_asia;§RState not in Asia§W;;;;;;;;;;;;;;
is_your_core;§RYou can not convert your own cores to Colonies§W;;;;;;;;;;;;;;
you_are_at_war;§RYou are currently at war§W;;;;;;;;;;;;;;
province_selector;Province Selector;;;;;;;;;;;;;;;;;;;;;;;;;;;x
PS_unlocked;PS Building Unlocked;;;;;;;;;;;;;x
PS_unlocked_desc;You can now build Province Selector buildings.;;;;;;;;;;;;;x
PS_unlocked_unciv;PS Building Unlocked (Unciv);;;;;;;;;;;;;x
PS_unlocked_unciv_desc;You can now build Province Selector buildings.;;;;;;;;;;;;;x
urban_center;Urban Center;;;;;;;;;;;;;;;;;;;;;;;;;;;x
farmland;Farmland Expansion;;;;;;;;;;;;;;;;;;;;;;;;;;;x
mines;Mine Expansion;;;;;;;;;;;;;;;;;;;;;;;;;;;x
national_idea_edge_left; ;;;;;;;;;;;;;x
national_idea_edge_left_desc; ;;;;;;;;;;;;;x
national_idea_edge_right; ;;;;;;;;;;;;;x
national_idea_edge_right_desc; ;;;;;;;;;;;;;x
national_idea1_bar;National Idea 1 (Unselected) \n§WNational idea unlocks 1836;;;;;;;;;;;;;x
national_idea2_bar;National Idea 2 (Unselected) \n§WNational idea unlocks 1850;;;;;;;;;;;;;x
national_idea3_bar;National Idea 3 (Unselected) \n§WNational idea unlocks 1865;;;;;;;;;;;;;x
national_idea4_bar;National Idea 4 (Unselected) \n§WNational idea unlocks 1880;;;;;;;;;;;;;x
national_idea5_bar;National Idea 5 (Unselected) \n§WNational idea unlocks 1895;;;;;;;;;;;;;x
army_morale_idea_bar;National Idea (Selected) \n§WArmy Morale Idea\n§G+30% §WArmy Morale;;;;;;;;;;;;;x
army_organisation_idea_bar;National Idea (Selected) \n§WArmy Organisation Idea\n§G+15% §WArmy Organisation;;;;;;;;;;;;;x
military_supplies_idea_bar;National Idea (Selected) \n§WMilitary Supplies Idea\n§G-10% §WMilitary Supplies;;;;;;;;;;;;;x
military_hospitals_idea_bar;National Idea (Selected) \n§WMilitary Hospitals Idea\n§G+10% §WMilitary Hospitals;;;;;;;;;;;;;x
reinforce_rate_idea_bar;National Idea (Selected) \n§WReinforce Rate Idea\n§G+10% §WReinforce Rate;;;;;;;;;;;;;x
leadership_idea_bar;National Idea (Selected) \n§WLeadership Idea\n§G+1 §WMonthly Leadership;;;;;;;;;;;;;x
prestige_idea_bar;National Idea (Selected) \n§WPrestige Idea\n§G+0.3 §WMonthly Prestige;;;;;;;;;;;;;x
navy_organisation_idea_bar;National Idea (Selected) \n§WNavy Organisation Idea\n§G+20% §WNavy Organisation;;;;;;;;;;;;;x
expansion_idea_bar;National Idea (Selected) \n§WExpansion Idea\n§G-0.05 §WInfamy Decay;;;;;;;;;;;;;x
